depth(m),SP,GR,LLD,LLS,DEN,AC,lithology
893.5,23.457,91.741,2.575,1.77,2.146,137.726,shale
893.6,24.32,90.925,2.559,1.758,2.138,138.602,shale
893.7,25.317,89.879,2.565,1.76,2.13,138.898,shale
893.8,26.431,88.808,2.61,1.787,2.124,138.423,shale
893.9,27.647,87.777,2.717,1.853,2.121,136.951,shale
894,28.967,86.612,2.913,1.973,2.119,134.534,shale
894.1,30.42,85.158,3.233,2.166,2.118,131.878,shale
894.2,32.037,83.39,3.72,2.454,2.115,129.814,shale
894.3,33.827,81.481,4.424,2.857,2.108,128.78,shale
894.4,35.752,79.711,5.376,3.381,2.098,128.806,shale
894.5,37.723,78.488,6.536,3.983,2.085,129.934,shale
894.6,39.614,78.058,7.726,4.551,2.073,132.235,shale
894.7,41.306,78.361,8.658,4.943,2.064,135.679,shale
894.8,42.72,79.087,9.139,5.089,2.058,139.982,shale
894.9,43.841,79.906,9.212,5.039,2.055,144.401,shale
895,44.702,80.62,9.063,4.895,2.053,148.005,shale
895.1,45.357,81.105,8.837,4.723,2.052,149.872,shale
895.2,45.859,81.275,8.571,4.539,2.052,149.577,shale
895.3,46.256,81.147,8.234,4.328,2.053,147.524,shale
895.4,46.584,80.79,7.788,4.072,2.052,144.64,shale
895.5,46.879,80.25,7.226,3.771,2.05,141.738,shale
895.6,47.168,79.547,6.576,3.441,2.047,139.244,shale
895.7,47.466,78.709,5.89,3.107,2.043,137.181,shale
895.8,47.759,77.929,5.226,2.791,2.04,135.397,shale
895.9,48.011,77.389,4.624,2.51,2.039,133.963,shale
896,48.18,77.105,4.105,2.27,2.041,133.198,shale
896.1,48.237,76.992,3.673,2.07,2.044,133.397,shale
896.2,48.168,77.015,3.318,1.906,2.047,134.558,shale
896.3,47.988,77.112,3.028,1.773,2.048,136.465,shale
896.4,47.727,77.185,2.789,1.664,2.047,138.836,shale
896.5,47.421,77.228,2.587,1.573,2.044,141.36,shale
896.6,47.088,77.206,2.412,1.497,2.039,143.602,shale
896.7,46.735,77.08,2.258,1.43,2.034,144.998,shale
896.8,46.353,76.863,2.121,1.372,2.029,145.252,shale
896.9,45.931,76.654,1.999,1.32,2.026,144.59,shale
897,45.461,76.565,1.89,1.272,2.022,143.563,shale
897.1,44.942,76.616,1.796,1.229,2.019,142.522,shale
897.2,44.378,76.712,1.719,1.193,2.017,141.365,shale
897.3,43.779,76.767,1.665,1.165,2.017,139.982,shale
897.4,43.15,76.824,1.638,1.152,2.016,138.594,shale
897.5,42.471,77.089,1.646,1.156,2.015,137.445,shale
897.6,41.698,77.667,1.692,1.181,2.014,136.59,shale
897.7,40.785,78.591,1.782,1.23,2.014,136.01,shale
897.8,39.712,79.846,1.913,1.301,2.015,135.73,shale
897.9,38.518,81.36,2.077,1.39,2.016,135.8,shale
898,37.302,83.02,2.252,1.485,2.017,136.279,shale
898.1,36.183,84.596,2.408,1.571,2.021,137.172,shale
898.2,35.248,85.785,2.522,1.636,2.031,138.59,shale
898.3,34.518,86.308,2.585,1.677,2.046,140.548,shale
898.4,33.942,86.008,2.612,1.698,2.065,142.253,shale
898.5,33.423,84.98,2.621,1.711,2.083,142.607,shale
898.6,32.866,83.678,2.627,1.721,2.1,141.243,shale
898.7,32.218,82.641,2.629,1.731,2.112,138.705,shale
898.8,31.479,82.211,2.618,1.734,2.121,136.337,shale
898.9,30.676,82.402,2.585,1.723,2.124,135.428,shale
899,29.844,83.053,2.524,1.697,2.119,136.29,shale
899.1,29.014,84.018,2.442,1.656,2.107,138.475,shale
899.2,28.224,85.253,2.349,1.607,2.088,141.404,shale
899.3,27.504,86.639,2.256,1.555,2.065,144.628,shale
899.4,26.884,87.908,2.168,1.505,2.039,147.681,shale
899.5,26.364,88.852,2.086,1.458,2.013,150.074,shale
899.6,25.928,89.442,2.011,1.414,1.991,151.434,shale
899.7,25.541,89.766,1.944,1.376,1.977,152.067,shale
899.8,25.159,90.1,1.889,1.346,1.972,152.548,shale
899.9,24.745,90.681,1.849,1.325,1.975,153.097,shale
900,24.284,91.518,1.83,1.319,1.984,153.919,shale
900.1,23.791,92.492,1.837,1.33,1.998,154.709,shale
900.2,23.294,93.405,1.87,1.358,2.017,154.646,shale
900.3,22.818,93.965,1.93,1.404,2.043,153.227,shale
900.4,22.389,93.929,2.011,1.464,2.073,150.953,shale
900.5,22.02,93.133,2.105,1.532,2.105,148.948,shale
900.6,21.72,91.543,2.197,1.598,2.133,147.842,shale
900.7,21.482,89.434,2.275,1.653,2.15,147.219,shale
900.8,21.294,87.432,2.331,1.69,2.153,146.383,shale
900.9,21.135,86.05,2.364,1.71,2.144,145.539,shale
901,20.991,85.56,2.38,1.717,2.129,145.154,shale
901.1,20.843,85.901,2.39,1.718,2.114,145.036,shale
901.2,20.679,86.676,2.399,1.718,2.104,144.648,shale
901.3,20.491,87.448,2.41,1.719,2.103,143.714,shale
901.4,20.29,87.941,2.42,1.721,2.108,142.362,shale
901.5,20.083,87.983,2.426,1.72,2.117,140.947,shale
901.6,19.881,87.622,2.426,1.716,2.127,139.786,shale
901.7,19.7,87.051,2.419,1.709,2.134,138.944,shale
901.8,19.565,86.531,2.411,1.702,2.137,138.335,shale
901.9,19.498,86.19,2.408,1.698,2.137,137.839,shale
902,19.512,86.081,2.413,1.699,2.135,137.431,shale
902.1,19.6,86.177,2.43,1.707,2.133,137.182,shale
902.2,19.74,86.381,2.457,1.721,2.13,137.129,shale
902.3,19.904,86.574,2.488,1.739,2.127,137.09,shale
902.4,20.062,86.742,2.516,1.755,2.124,137.048,shale
902.5,20.176,87.025,2.532,1.764,2.121,137.207,shale
902.6,20.206,87.616,2.53,1.763,2.12,137.581,shale
902.7,20.118,88.519,2.509,1.751,2.121,138.009,shale
902.8,19.894,89.531,2.475,1.731,2.126,138.274,shale
902.9,19.551,90.356,2.437,1.708,2.133,138.34,shale
903,19.151,90.822,2.404,1.689,2.143,138.307,shale
903.1,18.779,90.947,2.386,1.679,2.154,138.132,shale
903.2,18.509,90.858,2.386,1.68,2.165,137.646,shale
903.3,18.374,90.763,2.404,1.693,2.173,137.063,shale
903.4,18.349,90.857,2.433,1.714,2.179,136.799,shale
903.5,18.368,91.22,2.467,1.738,2.182,136.796,shale
903.6,18.367,91.707,2.493,1.758,2.18,136.677,shale
903.7,18.31,92.149,2.504,1.769,2.175,136.212,shale
903.8,18.196,92.518,2.493,1.764,2.167,135.396,shale
903.9,18.048,92.906,2.459,1.744,2.16,134.227,shale
904,17.889,93.433,2.404,1.709,2.155,132.658,shale
904.1,17.73,94.129,2.337,1.664,2.153,130.873,shale
904.2,17.567,94.867,2.266,1.618,2.156,129.479,shale
904.3,17.4,95.492,2.207,1.579,2.161,128.962,shale
904.4,17.239,95.885,2.167,1.554,2.165,129.22,shale
904.5,17.115,95.866,2.154,1.546,2.165,129.968,shale
904.6,17.069,95.236,2.166,1.555,2.158,131.241,shale
904.7,17.132,93.92,2.197,1.577,2.14,133.078,shale
904.8,17.305,92.108,2.241,1.607,2.11,135.078,shale
904.9,17.554,90.148,2.288,1.638,2.07,136.76,shale
905,17.821,88.493,2.331,1.667,2.027,138.101,shale
905.1,18.04,87.587,2.369,1.692,1.99,139.467,shale
905.2,18.154,87.687,2.4,1.711,1.967,141.019,shale
905.3,18.131,88.804,2.421,1.722,1.966,142.475,shale
905.4,17.968,90.587,2.421,1.721,1.989,143.489,shale
905.5,17.699,92.466,2.393,1.701,2.03,143.891,shale
905.6,17.374,94.038,2.329,1.66,2.08,143.869,shale
905.7,17.052,95.121,2.237,1.6,2.123,143.944,shale
905.8,16.784,95.659,2.13,1.53,2.151,144.663,shale
905.9,16.596,95.595,2.023,1.459,2.163,146.265,shale
906,16.488,95.048,1.93,1.397,2.161,148.55,shale
906.1,16.442,94.292,1.859,1.347,2.152,151.159,shale
906.2,16.428,93.592,1.809,1.313,2.14,153.749,shale
906.3,16.413,93.077,1.779,1.291,2.127,156.116,shale
906.4,16.364,92.8,1.763,1.279,2.115,158.104,shale
906.5,16.263,92.971,1.753,1.271,2.105,159.673,shale
906.6,16.105,93.74,1.746,1.265,2.095,160.998,shale
906.7,15.917,94.898,1.737,1.258,2.085,162.168,shale
906.8,15.741,96.025,1.726,1.25,2.074,163.112,shale
906.9,15.622,96.777,1.716,1.243,2.063,163.718,shale
907,15.597,97.08,1.711,1.239,2.054,164.02,shale
907.1,15.668,97.024,1.713,1.241,2.048,164.184,shale
907.2,15.803,96.762,1.727,1.249,2.046,164.309,shale
907.3,15.953,96.43,1.752,1.265,2.048,164.332,shale
907.4,16.072,96.094,1.784,1.285,2.056,164.074,shale
907.5,16.134,95.81,1.82,1.308,2.067,163.451,shale
907.6,16.133,95.474,1.854,1.329,2.08,162.578,shale
907.7,16.08,95.053,1.882,1.347,2.093,161.699,shale
907.8,15.991,94.623,1.901,1.358,2.104,160.99,shale
907.9,15.888,94.199,1.913,1.364,2.113,160.375,shale
908,15.794,93.66,1.92,1.367,2.119,159.66,shale
908.1,15.737,92.94,1.925,1.368,2.122,158.682,shale
908.2,15.738,92.157,1.932,1.371,2.125,157.424,shale
908.3,15.806,91.543,1.941,1.375,2.127,156.077,shale
908.4,15.934,91.319,1.957,1.384,2.128,154.84,shale
908.5,16.1,91.562,1.981,1.399,2.129,153.658,shale
908.6,16.282,92.12,2.018,1.421,2.13,152.326,shale
908.7,16.465,92.768,2.071,1.453,2.133,150.705,shale
908.8,16.649,93.261,2.14,1.497,2.136,148.761,shale
908.9,16.848,93.394,2.224,1.549,2.139,146.934,shale
909,17.078,93.182,2.317,1.609,2.139,145.669,shale
909.1,17.338,92.719,2.406,1.667,2.132,144.925,shale
909.2,17.601,92.145,2.477,1.718,2.115,144.416,shale
909.3,17.834,91.617,2.519,1.752,2.092,143.618,shale
909.4,18.013,91.259,2.527,1.766,2.064,142.283,shale
909.5,18.143,91.068,2.502,1.76,2.037,140.725,shale
909.6,18.247,91.012,2.45,1.736,2.017,139.383,shale
909.7,18.349,91.039,2.377,1.696,2.007,138.296,shale
909.8,18.455,91.183,2.288,1.647,2.008,137.535,shale
909.9,18.542,91.474,2.194,1.592,2.016,137.352,shale
910,18.57,91.8,2.101,1.537,2.028,138.026,shale
910.1,18.5,91.878,2.021,1.488,2.039,139.953,shale
910.2,18.32,91.63,1.96,1.451,2.047,142.745,shale
910.3,18.045,91.262,1.924,1.429,2.051,145.642,shale
910.4,17.708,91.082,1.911,1.421,2.049,147.705,shale
910.5,17.345,91.281,1.918,1.427,2.044,147.992,shale
910.6,16.988,91.868,1.935,1.439,2.04,146.174,shale
910.7,16.667,92.668,1.953,1.452,2.04,143.327,shale
910.8,16.413,93.441,1.964,1.461,2.048,141.797,shale
910.9,16.244,94.049,1.966,1.463,2.063,142.5,shale
911,16.158,94.435,1.961,1.461,2.083,144.302,shale
911.1,16.134,94.599,1.958,1.459,2.099,145.263,shale
911.2,16.149,94.539,1.96,1.461,2.109,144.809,shale
911.3,16.176,94.188,1.972,1.467,2.114,143.984,shale
911.4,16.203,93.463,1.991,1.477,2.118,143.825,shale
911.5,16.224,92.443,2.012,1.487,2.124,144.575,shale
911.6,16.239,91.421,2.031,1.495,2.13,145.662,shale
911.7,16.246,90.736,2.045,1.5,2.136,146.855,shale
911.8,16.242,90.639,2.055,1.502,2.141,147.906,shale
911.9,16.224,91.263,2.066,1.503,2.144,148.355,shale
912,16.2,92.57,2.078,1.506,2.146,148.21,shale
912.1,16.181,94.288,2.093,1.511,2.148,147.896,shale
912.2,16.176,96.055,2.106,1.516,2.151,147.942,shale
912.3,16.184,97.357,2.113,1.516,2.155,148.554,shale
912.4,16.195,97.743,2.108,1.511,2.158,149.465,shale
912.5,16.191,97.049,2.096,1.501,2.16,150.154,shale
912.6,16.157,95.493,2.081,1.491,2.158,150.342,shale
912.7,16.094,93.585,2.072,1.484,2.154,150.201,shale
912.8,16.014,91.951,2.075,1.484,2.15,149.894,shale
912.9,15.928,91.019,2.089,1.492,2.147,149.363,shale
913,15.833,90.817,2.109,1.504,2.145,148.53,shale
913.1,15.711,90.936,2.123,1.513,2.146,147.485,shale
913.2,15.54,90.832,2.125,1.516,2.147,146.409,shale
913.3,15.317,90.16,2.11,1.51,2.15,145.443,shale
913.4,15.063,88.987,2.085,1.497,2.154,144.625,shale
913.5,14.817,87.69,2.061,1.484,2.159,143.829,shale
913.6,14.618,86.669,2.048,1.477,2.165,142.935,shale
913.7,14.487,86.161,2.05,1.48,2.172,141.889,shale
913.8,14.423,86.142,2.071,1.494,2.181,140.663,shale
913.9,14.406,86.427,2.106,1.518,2.19,139.35,shale
914,14.406,86.84,2.148,1.548,2.198,137.965,shale
914.1,14.397,87.257,2.192,1.579,2.205,136.495,shale
914.2,14.36,87.61,2.232,1.608,2.208,135.149,shale
914.3,14.289,87.862,2.265,1.633,2.208,134.309,shale
914.4,14.2,88.036,2.292,1.652,2.206,134.263,shale
914.5,14.132,88.186,2.313,1.667,2.204,135.064,shale
914.6,14.131,88.344,2.33,1.679,2.202,136.433,shale
914.7,14.24,88.502,2.346,1.69,2.202,137.797,shale
914.8,14.47,88.532,2.363,1.702,2.201,138.409,shale
914.9,14.795,88.263,2.381,1.717,2.202,137.697,shale
915,15.158,87.733,2.401,1.733,2.203,135.764,shale
915.1,15.495,87.186,2.42,1.75,2.203,133.346,shale
915.2,15.758,86.889,2.436,1.764,2.204,131.293,shale
915.3,15.933,86.953,2.443,1.771,2.204,130.005,shale
915.4,16.033,87.279,2.438,1.769,2.202,129.517,shale
915.5,16.087,87.637,2.419,1.758,2.199,129.544,shale
915.6,16.129,87.797,2.389,1.738,2.195,129.796,shale
915.7,16.179,87.635,2.353,1.715,2.189,130.116,shale
915.8,16.241,87.224,2.317,1.69,2.182,130.418,shale
915.9,16.308,86.756,2.285,1.667,2.176,130.895,shale
916,16.365,86.394,2.258,1.648,2.17,131.68,shale
916.1,16.397,86.173,2.238,1.635,2.166,133.111,shale
916.2,16.384,86.124,2.226,1.628,2.164,134.978,shale
916.3,16.32,86.311,2.221,1.627,2.163,136.405,shale
916.4,16.207,86.736,2.225,1.629,2.164,136.868,shale
