depth,SP,GR,LLD,LLS,DEN,AC,litholody
998.4,24.635,80.453,1.528,1.201,1.829,138.867,shale
998.5,24.558,81.018,1.542,1.224,1.845,138.154,shale
998.6,24.423,82.354,1.582,1.27,1.861,137.638,shale
998.7,24.245,84.16,1.648,1.331,1.881,137.109,shale
998.8,24.062,85.984,1.733,1.397,1.907,136.5,shale
998.9,23.912,87.438,1.821,1.456,1.943,135.549,shale
999,23.816,88.328,1.9,1.502,1.988,134.132,shale
999.1,23.762,88.746,1.965,1.537,2.038,132.425,shale
999.2,23.736,88.962,2.016,1.563,2.085,130.936,shale
999.3,23.741,89.276,2.057,1.585,2.121,129.928,shale
999.4,23.794,89.874,2.091,1.603,2.141,129.449,shale
999.5,23.911,90.604,2.117,1.618,2.146,129.422,shale
999.6,24.084,91.002,2.132,1.627,2.139,129.898,shale
999.7,24.267,90.667,2.127,1.629,2.127,130.775,shale
999.8,24.405,89.571,2.096,1.619,2.118,131.541,shale
999.9,24.456,88.267,2.035,1.596,2.116,131.938,shale
1000,24.424,87.479,1.948,1.555,2.123,132.338,shale
1000.1,24.346,87.553,1.849,1.499,2.136,133.373,shale
1000.2,24.271,88.267,1.752,1.437,2.15,135.158,shale
1000.3,24.228,89.106,1.671,1.376,2.16,137.175,shale
1000.4,24.208,89.629,1.609,1.325,2.16,139.026,shale
1000.5,24.181,89.691,1.566,1.284,2.149,140.71,shale
1000.6,24.121,89.537,1.538,1.251,2.128,142.354,shale
1000.7,24.03,89.596,1.522,1.226,2.1,143.841,shale
1000.8,23.939,90.084,1.519,1.209,2.074,144.94,shale
1000.9,23.889,90.992,1.531,1.203,2.054,145.822,shale
1001,23.904,92.302,1.56,1.209,2.043,146.079,shale
1001.1,23.978,94.045,1.604,1.227,2.041,144.869,shale
1001.2,24.09,96.3,1.659,1.255,2.045,141.747,shale
1001.3,24.229,98.945,1.714,1.288,2.052,137.295,shale
1001.4,24.403,101.396,1.757,1.316,2.061,133.142,shale
1001.5,24.641,102.813,1.774,1.332,2.071,130.379,shale
1001.6,24.971,102.53,1.762,1.333,2.082,129.034,shale
1001.7,25.383,100.408,1.726,1.318,2.089,128.85,shale
1001.8,25.821,96.907,1.676,1.292,2.09,130.658,shale
1001.9,26.194,92.95,1.624,1.261,2.083,135.089,shale
1002,26.414,89.495,1.575,1.229,2.068,141.088,shale
1002.1,26.438,87.083,1.533,1.198,2.048,146.447,shale
1002.2,26.277,85.781,1.499,1.17,2.027,149.36,shale
1002.3,25.999,85.403,1.471,1.146,2.004,150.106,shale
1002.4,25.684,85.673,1.447,1.128,1.983,150.196,shale
1002.5,25.397,86.356,1.428,1.115,1.965,150.521,shale
1002.6,25.16,87.464,1.414,1.108,1.954,150.773,shale
1002.7,24.962,89.089,1.406,1.108,1.954,150.671,shale
1002.8,24.783,91.134,1.404,1.112,1.966,150.46,shale
1002.9,24.62,93.251,1.408,1.12,1.989,150.294,shale
1003,24.491,94.965,1.417,1.13,2.018,150.096,shale
1003.1,24.426,95.917,1.43,1.143,2.044,149.726,shale
1003.2,24.434,95.993,1.45,1.159,2.063,149.116,shale
1003.3,24.493,95.38,1.476,1.179,2.072,148.188,shale
1003.4,24.559,94.364,1.51,1.204,2.075,146.909,shale
1003.5,24.591,93.235,1.554,1.236,2.075,145.46,shale
1003.6,24.581,92.201,1.606,1.274,2.077,144.302,shale
1003.7,24.55,91.274,1.662,1.313,2.083,143.694,shale
1003.8,24.531,90.42,1.719,1.35,2.092,143.216,shale
1003.9,24.543,89.624,1.77,1.381,2.101,142.349,shale
1004,24.579,88.901,1.811,1.403,2.11,141.145,shale
1004.1,24.609,88.39,1.833,1.415,2.117,140.011,shale
1004.2,24.602,88.275,1.833,1.415,2.122,139.247,shale
1004.3,24.545,88.801,1.808,1.401,2.125,138.719,shale
1004.4,24.448,90.185,1.766,1.375,2.128,138.066,shale
1004.5,24.335,92.437,1.715,1.342,2.129,137.332,shale
1004.6,24.232,95.191,1.667,1.31,2.128,136.901,shale
1004.7,24.156,97.758,1.631,1.287,2.126,137.018,shale
1004.8,24.111,99.404,1.611,1.276,2.121,137.357,shale
1004.9,24.088,99.495,1.607,1.279,2.116,137.293,shale
1005,24.07,97.966,1.619,1.294,2.11,136.569,shale
1005.1,24.041,95.335,1.642,1.318,2.104,135.595,shale
1005.2,23.995,92.405,1.673,1.346,2.1,134.956,shale
1005.3,23.937,90.023,1.706,1.376,2.099,134.626,shale
1005.4,23.875,88.727,1.736,1.405,2.102,134.237,shale
1005.5,23.821,88.472,1.758,1.431,2.11,133.698,shale
1005.6,23.78,88.8,1.77,1.451,2.123,133.392,shale
1005.7,23.747,89.097,1.773,1.465,2.138,133.673,shale
1005.8,23.718,88.827,1.772,1.476,2.154,134.206,shale
1005.9,23.696,87.708,1.776,1.486,2.167,134.422,shale
1006,23.691,85.937,1.794,1.505,2.177,133.814,shale
