depth,SP,GR,LLD,LLS,DEN,AC,lithology
951.9,16.284,92.965,2.746,1.623,2.188,135.839,shale
952,16.082,92.633,2.761,1.634,2.192,136.377,shale
952.1,15.9,91.201,2.804,1.66,2.194,136.669,shale
952.2,15.733,89.069,2.857,1.693,2.195,136.686,shale
952.3,15.596,86.834,2.901,1.722,2.193,136.557,shale
952.4,15.513,85.136,2.919,1.738,2.19,136.411,shale
952.5,15.498,84.342,2.906,1.734,2.187,136.399,shale
952.6,15.554,84.507,2.862,1.711,2.183,136.697,shale
952.7,15.678,85.494,2.798,1.674,2.178,137.582,shale
952.8,15.86,86.943,2.727,1.63,2.172,139.285,shale
952.9,16.086,88.461,2.662,1.589,2.166,141.798,shale
953,16.343,89.634,2.616,1.556,2.161,144.75,shale
953.1,16.617,90.253,2.597,1.538,2.158,147.563,shale
953.2,16.891,90.373,2.609,1.535,2.158,149.771,shale
953.3,17.149,90.218,2.65,1.547,2.158,151.046,shale
953.4,17.374,90.102,2.714,1.571,2.159,151.252,shale
953.5,17.556,90.137,2.785,1.601,2.16,150.56,shale
953.6,17.698,90.03,2.85,1.629,2.161,149.351,shale
953.7,17.816,89.499,2.896,1.651,2.164,147.953,shale
953.8,17.928,88.427,2.923,1.666,2.168,146.562,shale
953.9,18.052,86.995,2.94,1.677,2.174,145.308,shale
954,18.202,85.572,2.959,1.691,2.181,144.237,shale
954.1,18.386,84.469,2.992,1.709,2.187,143.383,shale
954.2,18.596,83.803,3.044,1.735,2.192,142.757,shale
954.3,18.817,83.483,3.112,1.767,2.193,142.25,shale
954.4,19.04,83.332,3.191,1.804,2.193,141.786,shale
954.5,19.257,83.305,3.272,1.84,2.191,141.473,shale
954.6,19.462,83.488,3.347,1.873,2.188,141.503,shale
954.7,19.631,83.994,3.414,1.902,2.186,141.897,shale
954.8,19.74,84.643,3.472,1.927,2.184,142.448,shale
954.9,19.769,85.023,3.523,1.949,2.183,142.86,shale
955,19.727,84.881,3.567,1.969,2.183,142.984,shale
955.1,19.638,84.17,3.603,1.989,2.184,142.693,shale
955.2,19.539,83.197,3.635,2.008,2.184,141.749,shale
955.3,19.47,82.426,3.664,2.027,2.185,139.994,shale
955.4,19.457,82.289,3.697,2.048,2.184,137.641,shale
955.5,19.495,83.048,3.736,2.072,2.183,135.287,shale
955.6,19.559,84.72,3.782,2.096,2.182,133.456,shale
955.7,19.615,86.955,3.829,2.121,2.182,132.386,shale
955.8,19.635,89.032,3.87,2.143,2.183,132.016,shale
955.9,19.603,90.222,3.895,2.159,2.185,132.163,shale
956,19.517,90.201,3.899,2.167,2.186,132.482,shale
956.1,19.386,89.062,3.881,2.167,2.187,132.513,shale
956.2,19.228,87.295,3.85,2.161,2.187,131.926,shale
956.3,19.063,85.502,3.814,2.152,2.185,130.861,shale
956.4,18.907,84.182,3.778,2.142,2.183,129.89,shale
956.5,18.767,83.635,3.745,2.134,2.181,129.461,shale
956.6,18.646,83.812,3.713,2.126,2.178,129.785,shale
956.7,18.544,84.508,3.679,2.118,2.174,130.838,shale
956.8,18.469,85.34,3.639,2.106,2.17,132.374,shale
956.9,18.424,85.987,3.589,2.091,2.165,134.059,shale
957,18.409,86.196,3.531,2.071,2.161,135.595,shale
957.1,18.409,85.803,3.469,2.047,2.159,136.733,shale
957.2,18.401,84.822,3.409,2.023,2.159,137.349,shale
957.3,18.362,83.525,3.358,2.004,2.162,137.557,shale
957.4,18.286,82.309,3.325,1.994,2.167,137.577,shale
957.5,18.18,81.475,3.313,1.995,2.171,136.829,shale
957.6,18.06,81.044,3.32,2.007,2.175,133.973,shale
957.7,17.94,80.939,3.34,2.028,2.178,128.389,shale
957.8,17.825,80.995,3.359,2.05,2.177,121.511,shale
957.9,17.719,81.121,3.36,2.063,2.175,116.008,shale
958,17.636,81.326,3.332,2.061,2.171,113.369,shale
958.1,17.613,81.612,3.271,2.039,2.166,113.273,shale
958.2,17.69,81.877,3.188,2.002,2.162,114.967,shale
958.3,17.892,81.986,3.102,1.959,2.157,118.103,shale
958.4,18.212,81.913,3.034,1.923,2.154,121.72,shale
958.5,18.625,81.643,2.998,1.901,2.153,124.055,shale
958.6,19.11,81.178,3.001,1.9,2.153,124.073,shale
958.7,19.661,80.641,3.041,1.917,2.154,122.759,shale
958.8,20.282,80.168,3.11,1.949,2.153,121.967,shale
958.9,20.964,79.84,3.197,1.988,2.151,122.706,shale
959,21.681,79.641,3.288,2.028,2.147,124.399,shale
959.1,22.392,79.473,3.375,2.066,2.143,125.902,shale
959.2,23.063,79.26,3.457,2.101,2.14,126.75,shale
959.3,23.673,78.915,3.543,2.138,2.139,127.047,shale
959.4,24.231,78.481,3.637,2.183,2.14,127.244,shale
959.5,24.769,78.005,3.743,2.238,2.141,127.377,shale
959.6,25.329,77.633,3.855,2.302,2.14,127.222,shale
959.7,25.949,77.56,3.967,2.368,2.138,126.647,shale
959.8,26.658,77.846,4.073,2.432,2.133,125.931,shale
959.9,27.487,78.319,4.174,2.486,2.127,125.519,shale
960,28.453,78.627,4.281,2.532,2.118,125.5,shale
960.1,29.553,78.421,4.407,2.577,2.108,125.874,shale
960.2,30.755,77.471,4.558,2.627,2.098,126.558,shale
960.3,32.009,75.736,4.721,2.682,2.089,127.389,shale
960.4,33.251,73.489,4.861,2.732,2.08,128.079,shale
960.5,34.407,71.122,4.938,2.762,2.073,128.417,shale
960.6,35.396,69.052,4.927,2.763,2.071,128.474,shale
960.7,36.151,67.692,4.836,2.733,2.073,128.509,shale
960.8,36.638,67.373,4.701,2.688,2.081,128.689,shale
960.9,36.864,68.219,4.563,2.644,2.094,128.929,shale
961,36.877,70.137,4.455,2.618,2.111,128.984,shale
961.1,36.761,72.794,4.396,2.622,2.126,128.672,shale
961.2,36.628,75.668,4.386,2.656,2.137,128.053,shale
961.3,36.587,78.188,4.416,2.715,2.141,127.262,shale
961.4,36.72,79.996,4.469,2.785,2.138,126.283,shale
961.5,37.071,80.894,4.529,2.851,2.127,125.087,shale
961.6,37.645,80.894,4.586,2.898,2.113,123.864,shale
961.7,38.425,80.15,4.638,2.922,2.097,122.964,shale
961.8,39.379,78.927,4.691,2.929,2.084,122.604,shale
961.9,40.473,77.469,4.763,2.933,2.073,122.827,shale
962,41.67,76.017,4.873,2.953,2.065,123.565,shale
962.1,42.928,74.816,5.043,3.004,2.058,124.659,shale
962.2,44.203,74.048,5.293,3.102,2.052,125.859,shale
962.3,45.453,73.663,5.643,3.259,2.047,126.921,shale
962.4,46.636,73.42,6.112,3.484,2.04,127.771,shale
962.5,47.722,72.987,6.712,3.786,2.032,128.505,shale
962.6,48.694,72.17,7.44,4.163,2.023,129.227,shale
962.7,49.552,70.927,8.256,4.595,2.013,129.874,shale
962.8,50.309,69.352,9.087,5.046,2.005,130.343,shale
962.9,50.987,67.694,9.827,5.46,1.999,130.682,shale
963,51.613,66.283,10.376,5.776,1.995,130.969,shale
963.1,52.2,65.361,10.68,5.958,1.994,131.235,shale
963.2,52.749,64.911,10.767,6.012,1.993,131.483,shale
963.3,53.241,64.725,10.725,5.984,1.992,131.673,shale
963.4,53.661,64.626,10.655,5.934,1.991,131.695,shale
963.5,54.005,64.547,10.63,5.906,1.989,131.465,shale
963.6,54.287,64.501,10.689,5.926,1.987,131.048,shale
963.7,54.527,64.493,10.84,6.001,1.987,130.651,shale
963.8,54.729,64.489,11.069,6.125,1.987,130.531,shale
963.9,54.873,64.469,11.348,6.279,1.989,130.756,shale
964,54.929,64.361,11.633,6.439,1.992,131.168,shale
964.1,54.873,64.068,11.876,6.578,1.997,131.544,shale
964.2,54.702,63.62,12.033,6.671,2.002,131.698,shale
964.3,54.448,63.106,12.079,6.701,2.009,131.452,shale
964.4,54.157,62.584,12.016,6.669,2.016,130.622,shale
964.5,53.863,62.05,11.872,6.589,2.022,129.302,shale
964.6,53.577,61.522,11.681,6.482,2.026,127.956,shale
964.7,53.277,61.069,11.481,6.371,2.028,127.115,shale
964.8,52.916,60.822,11.301,6.272,2.028,126.929,shale
964.9,52.447,60.889,11.159,6.196,2.029,127.165,shale
965,51.845,61.258,11.063,6.146,2.029,127.515,shale
965.1,51.118,61.814,11.009,6.119,2.03,127.788,shale
965.2,50.299,62.378,10.985,6.103,2.031,127.994,shale
965.3,49.431,62.656,10.967,6.08,2.031,128.126,shale
965.4,48.547,62.403,10.907,6.021,2.032,128.151,shale
965.5,47.665,61.687,10.723,5.884,2.032,128.111,shale
965.6,46.796,60.876,10.301,5.624,2.033,128.04,shale
965.7,45.938,60.377,9.555,5.216,2.034,127.902,shale
965.8,45.093,60.494,8.513,4.684,2.035,127.665,shale
965.9,44.272,61.315,7.332,4.099,2.036,127.4,shale
966,43.487,62.664,6.21,3.546,2.038,127.161,shale
966.1,42.752,64.254,5.285,3.084,2.042,126.972,shale
966.2,42.076,65.819,4.603,2.739,2.049,126.771,shale
966.3,41.468,67.252,4.147,2.505,2.057,126.509,shale
966.4,40.926,68.577,3.876,2.364,2.064,126.346,shale
966.5,40.43,69.797,3.745,2.296,2.07,126.697,shale
966.6,39.936,70.884,3.71,2.28,2.074,127.905,shale
966.7,39.397,71.986,3.729,2.296,2.081,129.899,shale
966.8,38.772,73.396,3.76,2.325,2.094,132.311,shale
966.9,38.042,75.245,3.776,2.353,2.115,134.577,shale
967,37.207,77.31,3.772,2.375,2.141,135.94,shale
967.1,36.295,79.214,3.762,2.394,2.168,135.234,shale
967.2,35.347,80.641,3.762,2.415,2.189,131.531,shale
967.3,34.412,81.534,3.779,2.438,2.202,125.423,shale
967.4,33.528,82.231,3.807,2.46,2.206,119.066,shale
